MACEDONIAN STOCK EXCHANGE,,,,,,,,,,
Daily official list No. 209 from 08.11.2024,,,,,,,,,,
Symbol,Avg. price,% chg.,Bid,Ask,Max,Min,Last Trade Price*,Volume,Value in 1000 MKD,Note
R. Makedonija - drzavna obvrznica DO2016/23-1031dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/15-1036,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/21-1226,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/22-1238,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2018/08-0233dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/07-0436,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/08-0436dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/08-0638,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/09-0638dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/08-1030,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2020/09-1030dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2023/03-225,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/06-0232dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/15-0430dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2019/09-0534,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/06-0637,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2022/07-0637dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/14-0936,100.00,0.00,,,,,100.00,,0.00,
R. Makedonija - drzavna obvrznica DO2023/20-1138,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/17-1224,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2016/08-0331dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/10-0636,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2021/11-0636dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2017/24-0832dk,,0.00,,,,,,,0.00,
R. Makedonija - drzavna obvrznica DO2015/37-0930dk,,0.00,,,,,,,0.00,
